URL,Produs,Brand,Tip produs,Admin,Actiune
https://www.alessandrodesign.ro/products/suport-hartie-igienica-argintiu-gj633,Suport Hartie Igienica Argintiu GJ633,Korman Technik,Suport Hârtie Igienică,https://admin.shopify.com/store/d8cgqq-8s/products/9757762519307,adauga imagini
https://www.alessandrodesign.ro/products/extinde-garantia-1,Extinde Garantia,Alessandro Design,mws_fee_generated,https://admin.shopify.com/store/d8cgqq-8s/products/10799163703563,produs taxa garantie (app) - ascunde din cautare
