handle,title,in_menu,template,rule_stock_gt_0,total,in_stock,sold_out,pct_sold_out,sold_out_on_page1,sold_out_all_at_end,url
covoare-baie,Covoare Baie,1,default,0,8,8,0,0,0,1,https://www.alessandrodesign.ro/collections/covoare-baie
ghirlande-artificiale,Ghirlande Artificiale,1,default,0,3,3,0,0,0,1,https://www.alessandrodesign.ro/collections/ghirlande-artificiale
gazon-artificial,Gazon Artificial,1,default,0,2,2,0,0,0,1,https://www.alessandrodesign.ro/collections/gazon-artificial
calorifel-electric,Calorifer Electric,1,default,0,6,6,0,0,0,1,https://www.alessandrodesign.ro/collections/calorifel-electric
flori-decorative,Flori Decorative,1,default,0,0,0,0,0,0,1,https://www.alessandrodesign.ro/collections/flori-decorative
decoratiuni-perete,Decoratiuni Perete,0,default,0,21,0,21,100,21,1,https://www.alessandrodesign.ro/collections/decoratiuni-perete
plante-artificiale-interior,Plante Artificiale Interior,0,default,0,20,0,20,100,20,1,https://www.alessandrodesign.ro/collections/plante-artificiale-interior
baterii-apa-calda-instant,Baterii Apa Calda Instant,0,default,0,3,0,3,100,3,1,https://www.alessandrodesign.ro/collections/baterii-apa-calda-instant
consumabile,Consumabile,0,default,0,2,0,2,100,2,1,https://www.alessandrodesign.ro/collections/consumabile
pret-sub-0-test,pret sub 0 (test),0,default,0,2,0,2,100,2,1,https://www.alessandrodesign.ro/collections/pret-sub-0-test
instalatii-led-interior,Instalatii LED Interior,0,default,0,1,0,1,100,1,1,https://www.alessandrodesign.ro/collections/instalatii-led-interior
neon-flex,Neon Flex,0,default,0,1,0,1,100,1,1,https://www.alessandrodesign.ro/collections/neon-flex
baterii-baie-bucatarie-coloane-de-dus,Baterii baie/bucatarie & Seturi de dus,0,bf_baterii,0,1,0,1,100,1,1,https://www.alessandrodesign.ro/collections/baterii-baie-bucatarie-coloane-de-dus
casa-gradina,Casa & Gradina,0,default,0,30,5,25,83,25,1,https://www.alessandrodesign.ro/collections/casa-gradina
exterior-liniar,Exterior Liniar,0,default,0,19,5,14,74,14,1,https://www.alessandrodesign.ro/collections/exterior-liniar
baterii-apa-rece,Baterii Apa Rece,0,default,0,7,2,5,71,5,1,https://www.alessandrodesign.ro/collections/baterii-apa-rece
becuri-vintage,Becuri Vintage,0,default,0,3,1,2,67,2,1,https://www.alessandrodesign.ro/collections/becuri-vintage
lustre-led-test,LUSTRE LED TEST,0,campaign-lp,0,3,1,2,67,2,1,https://www.alessandrodesign.ro/collections/lustre-led-test
aplice-candelabre,Aplice de Candelabre,0,default,0,26,11,15,58,15,1,https://www.alessandrodesign.ro/collections/aplice-candelabre
lustre-camera-copiilor-1,Lustre Camera Copiilor,0,default,0,28,12,16,57,16,1,https://www.alessandrodesign.ro/collections/lustre-camera-copiilor-1
prize,Prize,0,default,0,2,1,1,50,1,1,https://www.alessandrodesign.ro/collections/prize
lustre-led-dormitor,Lustre LED Dormitor,0,default,0,441,226,215,49,0,0,https://www.alessandrodesign.ro/collections/lustre-led-dormitor
lustre-led-suspendate,Lustre Suspendate,0,default,0,165,84,81,49,0,1,https://www.alessandrodesign.ro/collections/lustre-led-suspendate
lustre-clasice,Lustre Clasice,0,default,0,72,37,35,49,0,1,https://www.alessandrodesign.ro/collections/lustre-clasice
lustre-led-cristal,Lustre LED Cristal,0,default,0,58,30,28,48,6,1,https://www.alessandrodesign.ro/collections/lustre-led-cristal
