url,varianta,format_audit,kb_audit,status_acum,format_crawler_acum,kb_crawler_acum,format_browser,kb_browser,dimensiune_px_servita,peste_200kb_in_browser
https://www.alessandrodesign.ro/cdn/shop/files/af357c6d-beba-4e59-8bd2-b0bc378e4779.png?v=1742308685&width=1946,width=1946,image/png,2376,200,image/png,2624,image/webp,96,1946x1946,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_2aa082f0-c6a7-4422-9b82-ebb69a7d9450.png?v=1742218687&width=1445,width=1445,image/png,2307,200,image/png,2372,image/webp,40,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/3_4c5b5c46-d2f0-4998-a296-6903fd6c11ce.png?v=1741678999&width=1445,width=1445,image/png,2306,200,image/png,2394,image/webp,36,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_e693b744-4b4c-4013-b938-0fcad639c9bb.png?v=1742218687&width=1445,width=1445,image/png,2301,200,image/png,2372,image/webp,48,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/0aa50e61-324e-4599-8453-092f29795614.png?v=1742298761&width=1946,width=1946,image/png,2288,200,image/png,2357,image/webp,93,1380x1378,nu
https://www.alessandrodesign.ro/cdn/shop/files/0aa50e61-324e-4599-8453-092f29795614.png?v=1742298761&width=1445,width=1445,image/png,2288,200,image/png,2357,image/webp,93,1380x1378,nu
https://www.alessandrodesign.ro/cdn/shop/files/a3_661b4482-991b-4e73-8d56-bd8f226a5103.png?v=1742218686&width=1946,width=1946,image/png,2234,200,image/png,2302,image/webp,29,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_5f5fe145-9068-4f4d-adb6-4f07f57c3879.png?v=1741678764,original,image/png,2226,200,image/png,2289,image/webp,34,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_5f5fe145-9068-4f4d-adb6-4f07f57c3879.png?v=1741678764&width=1946,width=1946,image/png,2226,200,image/png,2289,image/webp,34,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_0ec8585a-cb57-42e7-b11d-c7c7dd96d3f0.png?v=1741678757,original,image/png,2224,200,image/png,2296,image/webp,31,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_0ec8585a-cb57-42e7-b11d-c7c7dd96d3f0.png?v=1741678757&width=3840,width=3840,image/png,2224,200,image/png,2296,image/webp,31,1500x1500,nu
